,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
48,16,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
49,16,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
50,16,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
51,17,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
52,17,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
53,17,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
54,18,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 338.0, 180)"
55,18,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
56,18,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(662, 617, 180)","(662.0, 617.0, 180)"
57,19,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
58,19,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
59,19,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
60,20,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
61,20,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
62,20,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
63,21,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 338.0, 180)"
64,21,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
65,21,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(662, 617, 180)","(662.0, 617.0, 180)"
66,22,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
67,22,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
68,22,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
69,23,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
70,23,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
71,23,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
72,24,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
73,24,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
74,24,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
75,25,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
76,25,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
77,25,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
78,26,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
79,26,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
80,26,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
81,27,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 338.0, 180)"
82,27,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
83,27,2,XDL_XM3_XM4,-2790.013514817583,2658.0,17427.56809449232,"(662, 617, 180)","(662.0, 617.0, 180)"
84,28,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
85,28,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
86,28,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
87,29,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
88,29,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
89,29,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
